Point,X,Y,SSID,BSSID,Avg_RSSI

A1,3,1,TP-Link_7B34,e8:48:b8:6d:7b:34:,-56.8
A1,3,1,Dahab,d8:4a:2b:11:25:63:,-69.72

D1,0,1,ZOoz,ae:82:a7:c8:da:a0:,-64.92
D1,0,1,TP-Link_7B34,e8:48:b8:6d:7b:34:,-53.08
D1,0,1,Dahab,d8:4a:2b:11:25:63:,-76.62

A5,3,5,ZOoz,ae:82:a7:c8:da:a0:,-47.56
A5,3,5,TP-Link_7B34,e8:48:b8:6d:7b:34:,-52.28
A5,3,5,Dahab,d8:4a:2b:11:25:63:,-80.25

D5,0,5,ZOoz,ae:82:a7:c8:da:a0:,-51.74
D5,0,5,TP-Link_7B34,e8:48:b8:6d:7b:34:,-43.48
D5,0,5,Dahab,d8:4a:2b:11:25:63:,-72.56

A7,3,7,ZOoz,ae:82:a7:c8:da:a0:,-54.84
A7,3,7,Dahab,d8:4a:2b:11:25:63:,-78.04
A7,3,7,TP-Link_7B34,e8:48:b8:6d:7b:34:,-52.08

D7,0,7,ZOoz,ae:82:a7:c8:da:a0:,-55.2
D7,0,7,Dahab,d8:4a:2b:11:25:63:,-73.64
D7,0,7,TP-Link_7B34,e8:48:b8:6d:7b:34:,-54.32
a,0,0,WEF2B2C9,b4:f5:8e:f2:b2:d0:,-29.61
a,0,0,WEF2B2C9,b4:f5:8e:f2:b2:d0:,-25.76
a1,1,1,WEF2B2C9,b4:f5:8e:f2:b2:d0:,-51.72
a2,2,2,WEF2B2C9,b4:f5:8e:f2:b2:d0:,-33.0
